code_exp;code_clt;date_fac;num_fac;mnt_ttc;mnt_ht
5601;16;01/10/2007;778112;930.0800;777.6600
5601;16;01/10/2007;920623;930.0800;777.6600
5601;16;01/01/2008;961615;1022.5700;854.9900
5601;16;01/04/2008;963012;952.4300;796.3500
5601;16;01/07/2008;964386;952.4300;796.3500
5601;16;01/10/2008;965760;1120.4200;936.8100
5601;16;01/01/2009;967158;1053.1500;880.5600
5601;16;01/04/2009;968551;1060.6700;886.8500
5601;16;01/07/2009;969933;1259.6300;1053.2000
5601;16;01/10/2009;971292;1078.8000;902.0100
5601;16;01/01/2010;972662;1166.4700;975.3100
5601;16;01/04/2010;974096;1106.6600;925.3000
5601;16;01/07/2010;975448;1203.1000;1005.9400
5601;16;01/10/2010;976749;1247.5600;1043.1100
5601;16;01/01/2011;977987;1093.4800;914.2800
5601;16;08/02/2011;30698;27.5600;23.0400
5601;16;01/04/2011;979289;1005.0500;840.3400
5601;16;01/07/2011;980657;1003.7000;839.2100
5601;16;01/10/2011;982028;1051.8800;879.5000
5601;16;02/01/2012;983392;1051.8800;879.5000
5601;16;02/04/2012;778112;0.0000;0.0000
5601;20;01/10/2007;778112;3784.5000;3164.3000
5601;20;01/10/2007;920624;3784.5000;3164.3000
5601;20;01/01/2008;961616;33.4900;28.0000
5601;22;01/09/2007;778112;122.9500;102.8000
5601;22;19/09/2007;920246;122.9500;102.8000
5601;22;01/10/2007;778112;122.9500;102.8000
5601;22;01/10/2007;920435;122.9500;102.8000
5601;22;01/11/2007;960619;122.9500;102.8000
5601;22;01/12/2007;961026;122.9500;102.8000
5601;22;01/01/2008;961432;122.9500;102.8000
5601;22;21/01/2008;21533;245.9000;205.6000
5601;31;01/09/2007;778112;357.8400;299.2000
5601;31;19/09/2007;920247;357.8400;299.2000
5601;31;01/10/2007;778112;357.8400;299.2000
5601;31;01/10/2007;920436;357.8400;299.2000
5601;31;01/11/2007;778112;0.0000;0.0000
5601;32;01/09/2007;778112;392.3700;328.0700
5601;32;19/09/2007;920248;392.3700;328.0700
5601;32;01/10/2007;778112;392.3700;328.0700
5601;32;01/10/2007;920437;392.3700;328.0700
5601;32;01/11/2007;960620;392.3700;328.0700
5601;32;01/12/2007;961027;392.3700;328.0700
5601;32;01/01/2008;961433;790.0500;660.5800
5601;32;30/01/2008;21616;150.2200;125.6000
5601;32;01/02/2008;962054;572.6000;478.7600
5601;32;29/02/2008;468829;115.8200;96.8400
5601;32;01/03/2008;962445;781.9000;653.7600
5601;32;28/03/2008;471121;74.2200;62.7100
5601;32;01/04/2008;962842;681.0900;569.4700
5601;32;25/04/2008;473060;63.5000;53.7500
5601;32;01/05/2008;963415;550.9000;460.6200
5601;32;30/05/2008;476776;54.5700;45.6300
5601;32;02/06/2008;963818;549.6900;459.6100
5601;32;27/06/2008;479137;66.5300;56.2800
5601;32;01/07/2008;964223;512.7000;428.6800
5601;32;25/07/2008;480754;101.1000;87.1600
5601;32;01/08/2008;964803;561.8200;469.7500
5601;32;22/08/2008;483296;72.4000;61.8500
5601;32;01/09/2008;965215;482.9900;403.8400
5601;32;19/09/2008;485782;46.1800;38.6100
5601;32;01/10/2008;965599;471.6200;394.3300
5601;32;31/10/2008;490444;95.3000;82.4600
5601;32;01/11/2008;966186;511.9600;428.0600
5601;32;28/11/2008;492977;93.1700;78.6000
5601;32;01/12/2008;966584;593.7700;496.4600
5601;32;26/12/2008;494658;101.4400;85.5100
5601;32;01/01/2009;967011;519.7000;434.5300
5601;32;23/01/2009;496933;57.6400;48.1900
5601;32;02/02/2009;967594;557.3100;465.9800
5601;32;20/02/2009;499678;57.6400;48.1900
5601;32;02/03/2009;967990;564.9900;472.4000
5601;32;20/03/2009;502179;68.4000;57.1900
5601;32;01/04/2009;968404;578.5100;483.7000
5601;32;17/04/2009;504647;76.4600;65.3200
5601;32;01/05/2009;968976;545.8400;456.3900
5601;32;22/05/2009;507896;57.6400;48.1900
5601;32;01/06/2009;969367;547.1000;457.4400
5601;32;19/06/2009;510431;76.4600;65.3200
5601;32;01/07/2009;969792;543.2400;454.2100
5601;32;31/07/2009;515088;96.3300;83.3200
5601;32;01/08/2009;970346;611.9200;511.6400
5601;32;28/08/2009;517433;64.9900;55.0500
5601;32;01/09/2009;970739;553.0200;462.3900
5601;32;25/09/2009;519436;58.6600;49.0500
5601;32;01/10/2009;971150;553.0200;462.3900
5601;32;23/10/2009;521804;68.2600;57.7800
5601;32;02/11/2009;971725;553.0200;462.3900
5601;32;20/11/2009;524427;64.9900;55.0500
5601;32;01/12/2009;972131;553.0200;462.3900
5601;32;18/12/2009;526747;58.6600;49.0500
5601;32;01/01/2010;972523;575.8400;481.4700
5601;32;29/01/2010;531573;46.9900;39.2900
5601;32;01/02/2010;973089;622.7700;520.7100
5601;32;04/02/2010;532092;105.7400;88.4100
5601;32;26/02/2010;534253;58.6600;49.0500
5601;32;01/03/2010;973525;784.8900;656.2600
